,Event,Time,Temperature,Time_subseconds,Date,Time_round,Time_in_seconds
280,TOUCH_ON,20:34:49.309,0,74089.309784,2024-06-08,20:34:49,74089
281,TOUCH_OFF,20:34:50.505,0,74090.505554,2024-06-08,20:34:51,74091
282,TEMPERATURE_ON,20:34:49.309,1002,74089.309784,2024-06-08,20:34:49,74089
283,TEMPERATURE_OFF,20:34:50.505,1009,74090.505554,2024-06-08,20:34:51,74091
284,PUFF_ON,20:34:53.562,0,74093.562164,2024-06-08,20:34:54,74094
285,PUFF_OFF,20:34:54.937,0,74094.93721,2024-06-08,20:34:55,74095
286,TEMPERATURE_ON,20:34:53.562,1002,74093.562164,2024-06-08,20:34:54,74094
287,TEMPERATURE_OFF,20:34:54.937,1009,74094.93721,2024-06-08,20:34:55,74095
288,TOUCH_ON,20:35:03.558,0,74103.558044,2024-06-08,20:35:04,74104
289,TOUCH_OFF,20:35:09.018,0,74109.018875,2024-06-08,20:35:09,74109
290,TEMPERATURE_ON,20:35:03.558,1002,74103.558044,2024-06-08,20:35:04,74104
291,TEMPERATURE_OFF,20:35:09.018,1009,74109.018875,2024-06-08,20:35:09,74109
292,PUFF_ON,20:35:10.673,0,74110.673843,2024-06-08,20:35:11,74111
293,PUFF_OFF,20:35:11.906,0,74111.906723,2024-06-08,20:35:12,74112
294,TEMPERATURE_ON,20:35:10.673,1002,74110.673843,2024-06-08,20:35:11,74111
295,TEMPERATURE_OFF,20:35:11.906,1009,74111.906723,2024-06-08,20:35:12,74112
296,TOUCH_ON,20:35:11.882,0,74111.882187,2024-06-08,20:35:12,74112
297,TOUCH_OFF,20:35:14.184,0,74114.184219,2024-06-08,20:35:14,74114
298,TEMPERATURE_ON,20:35:11.882,1002,74111.882187,2024-06-08,20:35:12,74112
299,TEMPERATURE_OFF,20:35:14.184,1009,74114.184219,2024-06-08,20:35:14,74114
300,TOUCH_ON,20:35:14.888,0,74114.888824,2024-06-08,20:35:15,74115
301,TOUCH_OFF,20:35:31.307,0,74131.307755,2024-06-08,20:35:31,74131
302,TEMPERATURE_ON,20:35:14.888,1002,74114.888824,2024-06-08,20:35:15,74115
